Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	mon21	mon22	mon23	mon24	mon25	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	nmon21	nmon22	nmon23	nmon24	nmon25	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	umon21	umon22	umon23	umon24	umon25	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
Act 2 - Sewer 1 B	48	1	1			30	200	200	200	200	200	200	1500	1300		1				1	1	1		1	1	13	-1	-1	-1	-1	47		49						22	-1	23	-1	-1	-1	-1	-1	8	255	255	255			1		2025	13	38	63	13	43	74	10000	10000	10000	99	99	99	99	99	99	1		13	skeleton4	sandraider1	mummy1	sk_archer4																							skeleton4	sandraider1	mummy1	sk_archer4																						skeleton4	sandraider1	mummy1	sk_archer4																						rat	bat	scorpion		30	100	20						0	15	10	Sewers Level 2	To The Sewers Level 2	A2L9	32	26	5						12	12	12						0
Act 2 - Sewer 1 C	49	1	1			31	200	200	200	200	200	200	1500	1600		1				1	1	1		1	1	13	-1	-1	-1	-1	48								22	-1	-1	-1	-1	-1	-1	-1	8	255	255	255			1		2025	14	39	64	14	44	75	10000	10000	10000	99	99	99	99	99	99	1		13	skeleton4	pantherwoman1	mummy1	skmage_fire3																							skeleton4	pantherwoman1	mummy1	skmage_fire3																						skeleton4	pantherwoman1	mummy1	skmage_fire3																						rat	bat	scorpion		30	100	20						0	15	255	Sewers Level 3	To The Sewers Level 3	A2L10	32	26	5						15	15	15						0
Act 2 - Harem	50	1	1	11	11	32	16	19	16	19	16	19	2000	1000		1				1	1	1		1	2	14	-1	-1	-1	-1	40		51	51					25	-1	28	29	-1	-1	-1	-1	128	255	255	255					2025		25	50																																																																																												rat	bat	scorpion		30	30	20						8	16	255	Harem Level 1	To The Harem Level 1	A2L11	56								15								0
Act 2 - Corrupt Harem 1	51	1	1	11	11	33	100	100	100	100	100	100	2000	1119		1				1	1	1		1	1	14	-1	-1	-1	-1	50	50	52	52					26	27	28	29	-1	-1	-1	-1		255	255	255			1		2025	13	38	63	13	47	78	10000	10000	10000	99	99	99	99	99	99	1		13	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4																						sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4																					sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4																					rat	bat	scorpion		30	30	20						8	17	255	Harem Level 2	To The Harem Level 2	A2L12	56	55							15	33							0
Act 2 - Basement 1	52	1	1	11	11	34	100	100	100	100	100	100	2000	1319		1				1	1	1		1	1	15	-1	-1	-1	-1	51	51	53	53					26	27	32	32	-1	-1	-1	-1		255	255	255			1		2025	13	38	63	13	47	78	10000	10000	10000	99	99	99	99	99	99	1	1	13	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_fire4																						sandraider3	baboon1	sk_archer5	blunderbore1	skmage_fire4																					sandraider3	baboon1	sk_archer5	blunderbore1	skmage_fire4																					rat	bat	scorpion		30	30	20						60	18	15	Palace Cellar Level 1 	To The Palace Cellar Level 1 	A2L13	57	58							20	10							0
Act 2 - Basement 2	53	1	1	11	11	35	100	100	100	100	100	100	2000	1519		1				1	1	1		1	1	15	-1	-1	-1	-1	52	52	54	54					30	31	32	32	-1	-1	-1	-1		255	255	255	1		1		2025	13	38	63	13	47	78	10000	10000	10000	99	99	99	99	99	99	1	1	13	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_pois4																						sandraider3	baboon1	sk_archer5	blunderbore1	skmage_pois4																					sandraider3	baboon1	sk_archer5	blunderbore1	skmage_pois4																					rat	bat	scorpion		30	30	20						60	18	255	Palace Cellar Level 2	To The Palace Cellar Level 2	A2L14	57	58							20	10							0
Act 2 - Basement 3	54	1	1	11	11	36	100	100	100	100	100	100	2000	1719		1				1	1	1		1	1	15	-1	-1	-1	-1	53	53							30	31	-1	-1	-1	-1	-1	-1		255	255	255	1	1	1		2025	13	38	63	13	48	78	10000	10000	10000	99	99	99	99	99	99	1	1	13	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_ltng4																						sandraider3	baboon1	sk_archer5	blunderbore1	skmage_ltng4																					sandraider3	baboon1	sk_archer5	blunderbore1	skmage_ltng4																					rat	bat	scorpion		30	30	20						60	18	255	Palace Cellar Level 3	To The Palace Cellar Level 3	A2L15	57	58							20	10							0
Act 2 - Tomb 1 A	55	1	1			37	200	200	200	200	200	200	3000	1000		1				1	1	1		1	1	17	-1	-1	-1	-1	41				59				45	-1	-1	-1	46	-1	-1	-1		255	255	255			1		1000	12	37	62	12	44	78	10000	10000	10000	99	99	99	99	99	99	1		13	skeleton5	scarab1	skmage_ltng3																								skeleton5	scarab1	skmage_ltng3																							skeleton5	scarab1	skmage_ltng3																							rat	bat	scorpion		30	30	20						60	19	255	Stony Tomb Level 1	To The Stony Tomb Level 1	A2L16	19	29	24						10	20	35						0
Act 2 - Tomb 2 A	56	1	1			38	200	200	200	200	200	200	3000	1300		1				1	1	1		1	1	17	-1	-1	-1	-1	42				57				45	-1	-1	-1	46	-1	-1	-1		255	255	255			1		1000	12	37	62	12	44	79	10000	10000	10000	99	99	99	99	99	99	1		13	mummy2	unraveler1	unraveler1	batdemon1	slinger2																						mummy2	unraveler1	unraveler1	batdemon1	slinger2																					mummy2	unraveler1	unraveler1	batdemon1	slinger2																					rat	bat	scorpion		30	30	20						60	19	255	Halls of the Dead Level 1	To The Halls of the Dead Level 1	A2L17	19	29	24						10	20	35						0
Act 2 - Tomb 2 B	57	1	1			39	200	200	200	200	200	200	3000	1600		1				1	1	1		1	1	17	-1	-1	-1	-1	56				60				45	-1	-1	-1	46	-1	-1	-1		255	255	255			1		1000	13	38	63	13	45	81	10000	10000	10000	99	99	99	99	99	99	1		13	mummy2	unraveler1	unraveler1	batdemon1	slinger2																						mummy2	unraveler1	unraveler1	batdemon1	slinger2																					mummy2	unraveler1	unraveler1	batdemon1	slinger2																					rat	bat	scorpion		30	30	20						60	19	12	Halls of the Dead Level 2	To The Halls of the Dead Level 2	A2L18	19	29	24						10	20	35						0
Act 2 - Tomb 3 A	58	1	1			40	200	200	200	200	200	200	3000	1900		1				1	1	1		1	1	17	-1	-1	-1	-1	45				61				45	-1	-1	-1	46	-1	-1	-1		255	255	255			1		1000	14	39	64	14	47	82	10000	10000	10000	99	99	99	99	99	99	1		13	clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2																					clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2																				clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2																				rat	bat	scorpion		30	30	20						60	19	255	Claw Viper Temple Level 1	To The Claw Viper Temple Level 1	A2L19	19	29	24						10	20	35						0
Act 2 - Tomb 1 Treasure	59	1	1			41	200	200	200	200	200	200	3000	2200		1				1	1	1		1	1	17	-1	-1	-1	-1	55								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	12	37	62	12	44	79	10000	10000	10000	99	99	99	99	99	99	1		13	skeleton5	scarab1	skmage_pois3																								skeleton5	scarab1	skmage_pois3																							skeleton5	scarab1	skmage_pois3																							rat	bat	scorpion		30	30	20						60	19	255	Stony Tomb Level 2	To The Stony Tomb Level 2	A2L20	19	29	24						10	30	45						0
Act 2 - Tomb 2 Treasure	60	1	1			42	200	200	200	200	200	200	3000	2500		1				1	1	1		1	1	17	-1	-1	-1	-1	57								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	13	38	63	13	45	82	10000	10000	10000	99	99	99	99	99	99	1		13	mummy2	unraveler1	unraveler1	batdemon1	slinger2																						mummy2	unraveler1	unraveler1	batdemon1	slinger2																					mummy2	unraveler1	unraveler1	batdemon1	slinger2																					rat	bat	scorpion		30	30	20						60	19	255	Halls of the Dead Level 3	To The Halls of the Dead Level 3	A2L21	19	29	24						10	30	45						0
Act 2 - Tomb 3 Treasure	61	1	1			43	200	200	200	200	200	200	3000	2800		1				1	1	1		1	1	17	-1	-1	-1	-1	58								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	14	39	64	14	47	83	10000	10000	10000	99	99	99	99	99	99	1		13	clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2																					clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2																				clawviper2	clawviper2	clawviper3	clawviper3	mummy3	unraveler2																				rat	bat	scorpion		30	30	20						60	19	255	Claw Viper Temple Level 2	To The Claw Viper Temple Level 2	A2L22	19	29	24						10	30	45						0
Act 2 - Lair 1 A	62	1	1			44	200	200	200	200	200	200	3500	1000		1				1	1	1		1	1	18	-1	-1	-1	-1	43	63							48	49	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	45	84	10000	10000	10000	99	99	99	99	99	99	1		13	sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																						sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																					sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																					rat	bat	scorpion		30	30	20						8	20	255	Maggot Lair Level 1	To The Maggot Lair Level 1	A2L23	35	29							50	35							0
Act 2 - Lair 1 B	63	1	1			45	200	200	200	200	200	200	3500	1300		1				1	1	1		1	1	18	-1	-1	-1	-1	62	64							48	49	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	45	84	10000	10000	10000	99	99	99	99	99	99	1		13	sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																						sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																					sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																					rat	bat	scorpion		30	30	20						8	20	255	Maggot Lair Level 2	To The Maggot Lair Level 2	A2L24	35	29							65	35							0
Act 2 - Lair 1 Treasure	64	1	1			46	200	200	200	200	200	200	3500	1600		1				1	1	1		1	1	18	-1	-1	-1	-1	63								48	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	46	85	10000	10000	10000	99	99	99	99	99	99	1		13	sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																						sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																					sandmaggot1	sandmaggot2	swarm2	scarab2	scarab3																					rat	bat	scorpion		30	30	20						8	20	255	Maggot Lair Level 3	To The Maggot Lair Level 3	A2L25	35	29							80	55							0
Act 2 - Sewer 2 A	65	1	1			47	200	200	200	200	200	200	4000	1000		1				1	1	1		1	1	13	-1	-1	-1	-1	44								22	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	46	85	10000	10000	10000	99	99	99	99	99	99	1		13	zombie5	sandraider3	mummy3	skmage_ltng4																							zombie5	sandraider3	mummy3	skmage_ltng4																						zombie5	sandraider3	mummy3	skmage_ltng4																						rat	bat	scorpion		30	100	20						8	15	255	Ancient Tunnels	To The Ancient Tunnels	A2L26	29								55								0
Act 2 - Tomb Tal 1	66	1	1	13	13	48	200	200	200	200	200	200	4500	1000		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	49	80	10000	10000	10000	99	99	99	99	99	99	1		13	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
Act 2 - Tomb Tal 2	67	1	1	13	13	49	200	200	200	200	200	200	4500	1300		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	49	80	10000	10000	10000	99	99	99	99	99	99	1		13	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
Act 2 - Tomb Tal 3	68	1	1	13	13	50	200	200	200	200	200	200	4500	1600		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	49	80	10000	10000	10000	99	99	99	99	99	99	1		13	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
Act 2 - Tomb Tal 4	69	1	1	13	13	51	200	200	200	200	200	200	4500	1900		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	49	80	10000	10000	10000	99	99	99	99	99	99	1		13	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
Act 2 - Tomb Tal 5	70	1	1	13	13	52	200	200	200	200	200	200	4500	2200		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	49	80	10000	10000	10000	99	99	99	99	99	99	1		13	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
Act 2 - Tomb Tal 6	71	1	1	13	13	53	200	200	200	200	200	200	4500	2500		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	49	80	10000	10000	10000	99	99	99	99	99	99	1		13	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
Act 2 - Tomb Tal 7	72	1	1	13	13	54	200	200	200	200	200	200	4500	2800		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	49	80	10000	10000	10000	99	99	99	99	99	99	1		13	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
Act 2 - Duriel's Lair	73	1	1	13	13	55	32	47	32	47	32	47	4500	3100		2			1	1	1	1		1	2	17	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1		255	255	255		1	1		2025	17	42	67	17	49	80	10000	10000	10000	99	99	99	99	99	99	1		13	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			rat	bat	scorpion	larva	30	30	20	100					0	21	255	Duriel's Lair	To Duriel's Lair	A2L40																	0
Act 2 - Arcane	74	1	1	11	11	56	200	200	200	200	200	200	5000	1000		1			1	1	1	1		1	1	19	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1	128	255	255	255	1	1	1	11	3800	14	39	64	14	48	79	10000	10000	10000	99	99	99	99	99	99	1		13	wraith3	goatman4	vampire1																								wraith3	goatman4	vampire1																							wraith3	goatman4	vampire1																																			0	22	16	Arcane Sanctuary	To The Arcane Sanctuary	A2L41	53	75							75	75							0
Act 3 - Town	75	2	2			57	64	48	64	48	64	48	1000	1000		1	1	1			1	1			2	20	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1						1			2025		25	50																																																																																																								0	23	18	Kurast Docktown	To The Kurast Docktown	A3L1																	0
Act 3 - Jungle 1	76	2	2			57	64	192	64	192	64	192	-1	-1		1	1	1			1	1			3	21	-1	-1	-1	-1	84	85							51	51	-1	-1	-1	-1	-1	-1							1		2025	21	46	71	21	49	79	10000	10000	10000	99	99	99	99	99	99	1	5	13	baboon3	mosquito1	thornhulk1	fetish2	fetishblow2	foulcrow4																					baboon3	mosquito1	thornhulk1	fetish2	fetishblow2	foulcrow4																				baboon3	mosquito1	thornhulk1	fetish2	fetishblow2	foulcrow4																				snake	parrot			30	30							0	24	19	Spider Forest	To The Spider Forest	A3L2	31	43	40	52					50	15	45	35					0
Act 3 - Jungle 2	77	2	2			57	64	192	64	192	64	192	-1	-1		1	1	1			1	1			3	21	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1							1		2025	21	46	71	21	50	80	10000	10000	10000	99	99	99	99	99	99	1	5	13	frogdemon1	frogdemon2	thornhulk2	zombie4	fetishshaman2	willowisp1																					frogdemon1	frogdemon2	thornhulk2	zombie4	fetishshaman2	willowisp1																				frogdemon1	frogdemon2	thornhulk2	zombie4	fetishshaman2	willowisp1																				snake	parrot			30	30							0	24	20	Great Marsh	To The Great Marsh	A3L3	31	43	40	52					50	15	45	35					0
Act 3 - Jungle 3	78	2	2			57	64	192	64	192	64	192	-1	-1		1	1	1			1	1			3	21	-1	-1	-1	-1	86	88							53	54	-1	-1	-1	-1	-1	-1							1		2025	22	47	72	22	50	80	10000	10000	10000	99	99	99	99	99	99	1	5	13	fetish3	fetishshaman3	fetish4	fetishshaman4	vulture4	frogdemon3	fetishblow3																				fetish3	fetishshaman3	fetish4	fetishshaman4	vulture4	frogdemon3	fetishblow3																			fetish3	fetishshaman3	fetish4	fetishshaman4	vulture4	frogdemon3	fetishblow3																			snake	parrot			30	30							0	24	21	Flayer Jungle	To The Flayer Jungle	A3L4	31	43	40	52	43				50	15	45	35	50				0
Act 3 - Kurast 1	79	2	2			57	80	64	80	64	80	64	-1	-1		1	1	1			1	1	1		3	22	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1							1		2025	22	47	72	22	52	80	10000	10000	10000	99	99	99	99	99	99	1		13	baboon4	sandleaper4	vulture3	zealot1																							baboon4	sandleaper4	vulture3	zealot1																						baboon4	sandleaper4	vulture3	zealot1																						snake	parrot			30	30							0	25	22	Lower Kurast	To Lower Kurast	A3L5	31	76	40	42	43				33	15	35	40	40				0
Act 3 - Kurast 2	80	2	2			57	80	64	80	64	80	64	-1	-1		1	1	1			1	1	1		3	22	-1	-1	-1	-1	92	92	94	95					57	57	61	61	-1	-1	-1	-1							1		2025	22	47	72	22	52	81	10000	10000	10000	99	99	99	99	99	99	1		13	thornhulk3	swarm4	zealot2	cantor1																							thornhulk3	swarm4	zealot2	cantor1																						thornhulk3	swarm4	zealot2	cantor1																						snake	parrot			30	30							0	25	23	Kurast Bazaar	To The Kurast Bazaar	A3L6	31	76	40	42	43				33	15	45	50	50				0
Act 3 - Kurast 3	81	2	2			57	80	64	80	64	80	64	-1	-1		1	1	1			1	1	1		3	22	-1	-1	-1	-1	92	92	96	97					57	57	61	61	-1	-1	-1	-1							1		2025	23	48	73	23	52	81	10000	10000	10000	99	99	99	99	99	99	1		13	vulture4	zealot3	cantor2	thornhulk3																							vulture4	zealot3	cantor2	thornhulk3																						vulture4	zealot3	cantor2	thornhulk3																						snake	parrot			30	30							0	25	24	Upper Kurast	To Upper Kurast	A3L7	31	76	40	42	43				33	15	45	50	50				0
Act 3 - Kurast 4	82	2	2			57	48	16	48	16	48	16	-1	-1		1	1	1			1	1	1		3	22	-1	-1	-1	-1			98	99					-1	-1	61	61	-1	-1	-1	-1							1		2025	24	49	74	24	53	81	10000	10000	10000	99	99	99	99	99	99	1		13	sandraider4	baboon5	cantor3																								sandraider4	baboon5	cantor3																							sandraider4	baboon5	cantor3																							snake	parrot			30	30							0	25	255	Kurast Causeway	To The Kurast Causeway	A3L8	31	76	40	42	43				33	15	45	50	50				0
Act 3 - Travincal	83	2	2			57	64	64	64	64	64	64	-1	-1		1	1	1			1	1	1		3	22	-1	-1	-1	-1	100								64	-1	-1	-1	-1	-1	-1	-1							1		2025	24	49	74	24	54	82	10000	10000	10000	99	99	99	99	99	99	1		13	cantor3	cantor3	vampire2																								cantor3	cantor3	vampire2																							cantor3	cantor3	vampire2																							snake	parrot			30	30							0	25	25	Travincal	To Travincal	A3L9	31	61	40	42	62				33	25	50	33	35				0
Act 3 - Spider 1	84	2	2			58	200	200	200	200	200	200	1500	1000		1				1	1	1		1	1	23	-1	-1	-1	-1		76							-1	52	-1	-1	-1	-1	-1	-1	30	255	255	255			1		2025	21	46	71	21	50	79	10000	10000	10000	99	99	99	99	99	99	1		13	arach3	arach4	batdemon2	sandmaggot4	arach3																						arach3	arach4	batdemon2	sandmaggot4	arach3																					arach3	arach4	batdemon2	sandmaggot4	arach3																					minispider				30								0	29	255	Spider Cave	To The Spider Cave	A3L10	2	68	62						35	35	35						0
Act 3 - Spider 2	85	2	2			59	200	200	200	200	200	200	1500	1300		1				1	1	1		1	1	23	-1	-1	-1	-1		76							-1	52	-1	-1	-1	-1	-1	-1	30	255	255	255			1		2025	21	46	71	21	50	79	10000	10000	10000	99	99	99	99	99	99	1		13	arach3	arach4	batdemon2	sandmaggot4	arach3																						arach3	arach4	batdemon2	sandmaggot4	arach3																					arach3	arach4	batdemon2	sandmaggot4	arach3																					minispider				30								0	29	255	Spider Cavern	To The Spider Cavern	A3L11	2	68	62						35	35	35						0
Act 3 - Dungeon 1 A	86	2	2			60	200	200	200	200	200	200	2000	1000		1				1	1	1		1	1	24	-1	-1	-1	-1	87	78							56	55	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	21	46	71	21	51	80	10000	10000	10000	99	99	99	99	99	99	1		13	mummy4	bonefetish4	batdemon2	willowisp1	bonefetish5																						mummy4	bonefetish4	batdemon2	willowisp1	bonefetish5																					mummy4	bonefetish4	batdemon2	willowisp1	bonefetish5																					rat				30								0	27	255	Swampy Pit Level 1	To The Swampy Pit Level 1	A3L12	66	67	62	64	72				80	80	35	35	35				0
Act 3 - Dungeon 1 B	87	2	2			61	200	200	200	200	200	200	2000	1300		1				1	1	1		1	1	24	-1	-1	-1	-1	90	86							56	55	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	21	46	71	21	51	81	10000	10000	10000	99	99	99	99	99	99	1		13	bonefetish4	zombie4	batdemon2	willowisp1	bonefetish5																						bonefetish4	zombie4	batdemon2	willowisp1	bonefetish5																					bonefetish4	zombie4	batdemon2	willowisp1	bonefetish5																					rat				30								0	27	255	Swampy Pit Level 2	To The Swampy Pit Level 2	A3L13	66	67	62	64	72				80	80	35	35	35				0
Act 3 - Dungeon 2 A	88	2	2			62	200	200	200	200	200	200	2000	1600		1				1	1	1		1	1	24	-1	-1	-1	-1	89	78							56	55	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	22	47	72	22	51	81	10000	10000	10000	99	99	99	99	99	99	1		13	fetish3	fetishshaman3	fetish4	fetishshaman4	batdemon3	wraith5	fetishblow3	bonefetish3																			fetish3	fetishshaman3	fetish4	fetishshaman4	batdemon3	wraith5	fetishblow3	bonefetish3																		fetish3	fetishshaman3	fetish4	fetishshaman4	batdemon3	wraith5	fetishblow3	bonefetish3																		rat				30								0	27	255	Flayer Dungeon Level 1	To The Flayer Dungeon Level 1	A3L14	66	67	62	64	72				80	80	35	35	35				0
Act 3 - Dungeon 2 B	89	2	2			63	200	200	200	200	200	200	2000	1900		1				1	1	1		1	1	24	-1	-1	-1	-1	91	88							56	55	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	22	47	72	22	51	82	10000	10000	10000	99	99	99	99	99	99	1		13	fetish3	fetishshaman3	fetish4	fetishshaman4	batdemon3	wraith5	fetishblow3	bonefetish3																			fetish3	fetishshaman3	fetish4	fetishshaman4	batdemon3	wraith5	fetishblow3	bonefetish3																		fetish3	fetishshaman3	fetish4	fetishshaman4	batdemon3	wraith5	fetishblow3	bonefetish3																		rat				30								0	27	255	Flayer Dungeon Level 2	To The Flayer Dungeon Level 2	A3L15	66	67	62	64	72				80	80	35	35	35				0
Act 3 - Dungeon 1 Treasure	90	2	2			64	40	40	40	40	40	40	2000	2200		1				1	1	1		1	2	24	-1	-1	-1	-1		87							-1	55	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	21	46	71	21	51	82	10000	10000	10000	99	99	99	99	99	99	1		13	bonefetish4	bonefetish5	batdemon2	willowisp1																							bonefetish4	bonefetish5	batdemon2	willowisp1																						mosquito2	bonefetish5	batdemon2	willowisp1																						rat				30								0	27	255	Swampy Pit Level 3	To The Swampy Pit Level 3	A3L16	66	67	62	64	72				80	80	35	35	35				0
